20160906,1,1,1,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160907,1,1,1,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160908,1,1,1,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160909,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160910,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160911,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160912,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160913,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160914,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160915,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160916,2,2,2,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160917,3,3,3,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160918,4,4,4,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160919,4,4,4,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160920,4,4,4,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160921,4,4,4,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160922,5,5,5,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160923,5,5,5,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160924,6,6,6,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160925,6,6,6,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160926,6,6,6,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160927,6,6,6,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160928,7,7,7,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160929,9,9,9,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20160930,9,9,9,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161001,9,9,9,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161002,9,9,9,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161003,10,10,10,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161004,10,10,10,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161005,10,10,10,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161006,12,12,12,0,0,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
20161007,12,12,11,0,1,0,0,0,0,0,0,0,0.0%,0,0,0,0,0
